provinsi,kabupaten,nik,nama,ttl,gender,goldar,alamat,rtrw,kelurahan,kecamatan,agama,perkawinan,pekerjaan,kewarganegaraan,berlaku,sign_place,sign_date
PROVINSI SUMATERA UTARA,KOTA BINJAI,1275022903767807,LAO RUSMING,"BINJAI, 29-03-1976",PEREMPUAN,A,JL AGUNG NIAGA V BL G-5/41,012/006,SETIA,BINJAI KOTA,ISLAM,CERAI HIDUP,BELUM/TIDAK BEKERJA,WNI,SEUMUR HIDUP,KOTA BINJAI,24-09-2016
PROVINSI SULAWESI TENGAH,KABUPATEN DONGGALA,7203182209598763,RUDY NANGGULANGI,"DONGGALA, 22-09-1959",LAKI-LAKI,A,JL PENJERNIHAN RUSUN BENDUNGAN HILIR II BL A/19,014/017,LALOMBI,BANAWA SELATAN,ISLAM,KAWIN,WIRASWASTA,WNI,SEUMUR HIDUP,DONGGALA,08-05-2013
PROVINSI JAWA TENGAH,KABUPATEN TEMANGGUNG,3323052904619917,MIMIN AMINAH,"KALORAN, 29-04-1961",LAKI-LAKI,A,JL H SOLEH 40,018/016,TEPUSEN,KALORAN,ISLAM,KAWIN,BELUM/TIDAK BEKERJA,WNI,SEUMUR HIDUP,TEMANGGUNG,13-06-2012
PROVINSI MALUKU,KABUPATEN MALUKU TENGAH,8101091410887599,EDDY HERMAN,"BANDA, 14-10-1988",PEREMPUAN,O,JL TARUNG SATU NO 2,017/004,WAER,BANDA,ISLAM,KAWIN,PELAJAR/MAHASISWA,WNI,SEUMUR HIDUP,MALUKU TENGAH,18-08-2020
PROVINSI JAWA TIMUR,KABUPATEN MOJOKERTO,3516011010975570,JUSTIN BREHENY,"MOJOKERTO, 10-10-1997",LAKI-LAKI,O,JL APRON RUSUN APRON BL B-3/104,021/016,PADANGASRI,JATIREJO,ISLAM,CERAI MATI,PELAJAR/MAHASISWA,WNI,SEUMUR HIDUP,MOJOKERTO,22-04-2013
PROVINSI JAWA TENGAH,KABUPATEN PEMALANG,3327052809794608,JIM TRUESDELL,"PEMALANG, 28-09-1979",PEREMPUAN,O,JL HAYAM WURUK 6,025/009,CANGAK,BODEH,ISLAM,KAWIN,BELUM/TIDAK BEKERJA,WNI,SEUMUR HIDUP,PEMALANG,22-04-2014
PROVINSI SUMATERA UTARA,KOTA MEDAN,1271091707657215,IRVINIA MEGAWATI SADDAK,"MEDAN AMPLAS, 17-07-1965",PEREMPUAN,B,JL JEND SUDIRMAN KAV 27 PERMATABANK TOWER I,023/022,BANGUN MULIA,MEDAN AMPLAS,ISLAM,KAWIN,MENGURUS RUMAH TANGGA,WNI,SEUMUR HIDUP,KOTA MEDAN,23-01-2017
PROVINSI JAMBI,KABUPATEN SAROLANGUN,1503092609936041,JUANITA TAMPUBOLON,"SAROLANGUN, 26-09-1993",PEREMPUAN,B,JL ADITIAWARMAN I 6,022/013,SENDANG SARI,SINGKUT,ISLAM,CERAI MATI,MENGURUS RUMAH TANGGA,WNI,SEUMUR HIDUP,SAROLANGUN,06-01-2010
PROVINSI SUMATERA UTARA,KABUPATEN TOBA SAMOSIR,1212101002861407,AGUS TJANDRA,"TOBA SAMOSIR, 10-02-1986",PEREMPUAN,O,JL P DIPONEGORO 25,002/027,DOLOK SARIBU LUMBAN NABOLON,ULUAN,ISLAM,CERAI MATI,BELUM/TIDAK BEKERJA,WNI,SEUMUR HIDUP,TOBA SAMOSIR,26-02-2014
PROVINSI SUMATERA SELATAN,KABUPATEN MUARA ENIM,1603210402638028,CITRAWINDA PRIAPANTJA,"KELEKAR, 04-02-1963",LAKI-LAKI,O,JL RAYA PASAR MINGGU 26-B,007/026,SUBAN BARU,KELEKAR,ISLAM,KAWIN,KARYAWAN SWASTA,WNI,SEUMUR HIDUP,MUARA ENIM,17-04-2019
PROVINSI NUSA TENGGARA TIMUR,KABUPATEN SUMBA BARAT DAYA,5318102701950088,DHARMADI BUDIMAN,"SUMBA BARAT DAYA, 27-01-1995",PEREMPUAN,-,JL MITRA SUNTER BOULEVARD KAV 90/C-2,026/009,KANELU,WEWEWA TENGAH,ISLAM,KAWIN,PETANI/PEKEBUN,WNI,SEUMUR HIDUP,SUMBA BARAT DAYA,02-07-2012
PROVINSI JAMBI,KABUPATEN MERANGIN,1502142309794404,EKA SINTO KASIH TJIA,"TABIR ILIR, 23-09-1979",PEREMPUAN,O,JL LETJEN TB SIMATUPANG 31,030/018,TUNGGUL BULIN,TABIR ILIR,ISLAM,CERAI MATI,BELUM/TIDAK BEKERJA,WNI,SEUMUR HIDUP,MERANGIN,18-02-2011
PROVINSI SUMATERA SELATAN,KABUPATEN EMPAT LAWANG,1611011312971244,MEILIANA WIDJAJA,"MUARA PINANG, 13-12-1997",LAKI-LAKI,A,KOMPL TAMAN ARIES BL H-3,029/006,BATU GALANG,MUARA PINANG,ISLAM,CERAI MATI,WIRASWASTA,WNI,SEUMUR HIDUP,EMPAT LAWANG,06-04-2012
PROVINSI JAWA TENGAH,KABUPATEN BANYUMAS,3302022001774102,EDDY SUSANTO,"WANGON, 20-01-1977",LAKI-LAKI,B,JL SIAGA II C 21 A,030/019,JURANGBAHAS,WANGON,ISLAM,BELUM KAWIN,WIRASWASTA,WNI,SEUMUR HIDUP,BANYUMAS,11-12-2017
PROVINSI P A P U A,KABUPATEN JAYAWIJAYA,9102470702728339,RICHARD RACHIM,"JAYAWIJAYA, 07-02-1972",PEREMPUAN,A,JL METRO PERMATA BL H-2,016/014,HELEPALEGEM,ITLAY HISAGE,ISLAM,KAWIN,WIRASWASTA,WNI,SEUMUR HIDUP,JAYAWIJAYA,05-06-2013
PROVINSI JAWA BARAT,KABUPATEN CIAMIS,3207192308871333,HASYIM DJOJOHADIKUSUMO,"CIAMIS, 23-08-1987",PEREMPUAN,O,JL KH ABDULLAH SYAFEI 7 WISMA LAENA,008/020,BANGUNSARI,PAMARICAN,ISLAM,KAWIN,WIRASWASTA,WNI,SEUMUR HIDUP,CIAMIS,15-06-2012
PROVINSI JAWA TENGAH,KABUPATEN KEBUMEN,3305192702998678,ALING HERMAWAN OEY,"GOMBONG, 27-02-1999",PEREMPUAN,B,JL ARJUNA SLT 168,003/002,PATEMON,GOMBONG,HINDU,CERAI MATI,BURUH HARIAN LEPAS,WNI,SEUMUR HIDUP,KEBUMEN,20-08-2010
PROVINSI BALI,KABUPATEN GIANYAR,5104030203602105,DODDY AGUSTIAWAN TJAHJADI,"GIANYAR, 02-03-1960",LAKI-LAKI,O,JL MEDITERANIA BL F/8-F,023/020,PETAK,GIANYAR,ISLAM,BELUM KAWIN,BELUM/TIDAK BEKERJA,WNI,SEUMUR HIDUP,GIANYAR,25-06-2019
PROVINSI ACEH,KABUPATEN ACEH UTARA,1108240911691552,CHRISTIAN DIETER SCHOLZ,"PIRAK TIMUR, 09-11-1969",PEREMPUAN,B,JL TEBET BRT DALAM 30,007/020,KEUTAPANG,PIRAK TIMUR,ISLAM,CERAI MATI,PELAJAR/MAHASISWA,WNI,SEUMUR HIDUP,ACEH UTARA,20-06-2015
PROVINSI JAWA TIMUR,KABUPATEN TULUNGAGUNG,3504011207711309,MIMIN AMINAH,"TULUNGAGUNG, 12-07-1971",PEREMPUAN,O,JL SEMPER KEBANTENAN RAYA KAV 59-60,025/011,KEDUNGSOKO,TULUNGAGUNG,ISLAM,KAWIN,WIRASWASTA,WNI,SEUMUR HIDUP,TULUNGAGUNG,30-03-2010
PROVINSI BANTEN,KOTA TANGERANG,3671071209903371,HESYE SILYA MAMESAH,"TANGERANG, 12-09-1990",LAKI-LAKI,O,JL TL BETUNG 17,027/026,KOANG JAYA,KARAWACI,ISLAM,CERAI MATI,BELUM/TIDAK BEKERJA,WNI,SEUMUR HIDUP,KOTA TANGERANG,27-04-2018
PROVINSI BANTEN,KABUPATEN SERANG,3604230402726532,MUSTIKO SALEH,"CIKEUSAL, 04-02-1972",PEREMPUAN,O,JL KELAPA HYBRIDA RAYA KOMPL KELAPA GADING PERMAI BL QK I/18,002/008,CILAYANG,CIKEUSAL,KRISTEN,CERAI HIDUP,MENGURUS RUMAH TANGGA,WNI,SEUMUR HIDUP,SERANG,22-12-2010
PROVINSI JAWA BARAT,KABUPATEN INDRAMAYU,3212131110817396,SYARIEF TANDO,"INDRAMAYU, 11-10-1981",PEREMPUAN,B,JL KESEHATAN 56,029/004,SUKALILA,JATIBARANG,KATHOLIK,CERAI MATI,MENGURUS RUMAH TANGGA,WNI,SEUMUR HIDUP,INDRAMAYU,27-08-2012
PROVINSI NUSA TENGGARA BARAT,KABUPATEN LOMBOK TENGAH,5202011911968619,DRS ARYANTO AGUS MULYO,"PRAYA, 19-11-1996",LAKI-LAKI,O,JL AGUNG BRT I BL A-3/20-21,020/015,MERTAK TOMBOK,PRAYA,ISLAM,BELUM KAWIN,BURUH TANI/PERKEBUNAN,WNI,SEUMUR HIDUP,LOMBOK TENGAH,19-04-2017
PROVINSI BANTEN,KABUPATEN LEBAK,3602161101801356,RIA YULIANTY TJ HE,"LEBAK, 11-01-1980",PEREMPUAN,O,JL H SOLEH 40,003/004,CIKARATUAN,CIJAKU,ISLAM,BELUM KAWIN,GURU,WNI,SEUMUR HIDUP,LEBAK,19-11-2012
PROVINSI SUMATERA SELATAN,KABUPATEN MUSI RAWAS,1605180906034320,MULIANTO API TANAGA,"TIANG PUMPUNG KEPUNGUT, 09-06-2003",LAKI-LAKI,A,JL PENJERNIHAN RUSUN BENDUNGAN HILIR II BL A/19,018/008,RANTAU BINGIN,TIANG PUMPUNG KEPUNGUT,ISLAM,CERAI HIDUP,PETANI/PEKEBUN,WNI,SEUMUR HIDUP,MUSI RAWAS,28-09-2020
PROVINSI P A P U A,KABUPATEN PANIAI,9108310812770017,TJAHJADI TRESNA,"DEIYAI MIYO, 08-12-1977",PEREMPUAN,O,JL RADEN SALEH 44 WISMA TUGU RADEN SALEH,020/028,TUGUMO,DEIYAI MIYO,KATHOLIK,KAWIN,NELAYAN/PERIKANAN,WNI,SEUMUR HIDUP,PANIAI,12-01-2019
PROVINSI JAWA TIMUR,KABUPATEN SAMPANG,3527033001912336,HENRY SUWIGNJO,"SAMPANG, 30-01-1991",LAKI-LAKI,B,JL KH HASYIM ASHARI 35-A,025/020,PANGGUNG,SAMPANG,ISLAM,BELUM KAWIN,NELAYAN/PERIKANAN,WNI,SEUMUR HIDUP,SAMPANG,24-12-2017
PROVINSI JAWA TIMUR,KABUPATEN MOJOKERTO,3516111807848308,AAM DEWI HAMIDAH,"MOJOKERTO, 18-07-1984",LAKI-LAKI,A,JL KELAPA HYBRIDA RAYA,001/025,MLATEN,PURI,ISLAM,BELUM KAWIN,PETANI/PEKEBUN,WNI,SEUMUR HIDUP,MOJOKERTO,26-11-2014
PROVINSI NUSA TENGGARA TIMUR,KABUPATEN SUMBA TIMUR,5311101004606142,TANAKA KIYOMI,"PAHUNGA LODU, 10-04-1960",PEREMPUAN,B,JL H NAMAN 20,006/003,TAMMA,PAHUNGA LODU,ISLAM,KAWIN,BELUM/TIDAK BEKERJA,WNI,SEUMUR HIDUP,SUMBA TIMUR,25-09-2017
PROVINSI ACEH,KOTA BANDA ACEH,1171040811666593,PHILIP PRIASMORO,"BANDA ACEH, 08-11-1966",LAKI-LAKI,-,JL PUPAN 4-A,010/001,KOPELMA DARUSSALAM,SYIAH KUALA,ISLAM,BELUM KAWIN,KARYAWAN SWASTA,WNI,SEUMUR HIDUP,KOTA BANDA ACEH,09-11-2020
PROVINSI SUMATERA UTARA,KABUPATEN PADANG LAWAS UTARA,1220022910905632,DIXON KOESDJOJO,"PADANG LAWAS UTARA, 29-10-1990",PEREMPUAN,A,JL APRON RUSUN APRON BL B-3,001/007,SIBURBUR,DOLOK,ISLAM,CERAI MATI,BELUM/TIDAK BEKERJA,WNI,SEUMUR HIDUP,PADANG LAWAS UTARA,20-12-2014
PROVINSI P A P U A,KABUPATEN YALIMO,9122021112666991,AGUS TJANDRA,"APALAPSILI, 11-12-1966",LAKI-LAKI,O,JL SUMUR BATU IV BL C/18,009/002,BAPTEKMA,APALAPSILI,ISLAM,BELUM KAWIN,MENGURUS RUMAH TANGGA,WNI,SEUMUR HIDUP,YALIMO,30-04-2013
PROVINSI SUMATERA UTARA,KABUPATEN KARO,1206042707603622,CHANDRA EKAJAYA,"TIGAPANAH, 27-07-1960",LAKI-LAKI,A,JL DEWI SARTIKA 312-,024/017,SALIT,TIGAPANAH,ISLAM,KAWIN,PELAJAR/MAHASISWA,WNI,SEUMUR HIDUP,KARO,12-08-2011
PROVINSI BALI,KABUPATEN BANGLI,5106042403000892,MERIDIAN JOKO,"BANGLI, 24-03-2000",LAKI-LAKI,O,JL KALIBATA TMR I 36 A,008/027,SEKARDADI,KINTAMANI,KATHOLIK,CERAI MATI,MENGURUS RUMAH TANGGA,WNI,SEUMUR HIDUP,BANGLI,05-04-2019
PROVINSI SUMATERA UTARA,KABUPATEN HUMBANG HASUNDUTAN,1216052012791084,WILLY SUGIANTO,"LINTONG NIHUTA, 20-12-1979",PEREMPUAN,AB,JL TERATAI III KOMPL JATI MAKMUR BL C-2,004/007,SIGOMPUL,LINTONG NIHUTA,ISLAM,CERAI MATI,MENGURUS RUMAH TANGGA,WNI,SEUMUR HIDUP,HUMBANG HASUNDUTAN,04-10-2018
PROVINSI SULAWESI UTARA,KABUPATEN MINAHASA,7102172411767200,AGUS PURNOMO EDHI,"LANGOWAN SELATAN, 24-11-1976",PEREMPUAN,B,JL DERMAGA 93,012/022,PALAMBA,LANGOWAN SELATAN,ISLAM,CERAI MATI,BELUM/TIDAK BEKERJA,WNI,SEUMUR HIDUP,MINAHASA,07-05-2017
PROVINSI SUMATERA UTARA,KABUPATEN DAIRI,1211092406671808,AJI BAYU WIRROTAMA,"DAIRI, 24-06-1967",LAKI-LAKI,B,JL WARUNG BUNCIT RAYA 168,029/025,KUTA USANG,PEGAGAN HILIR,ISLAM,CERAI MATI,PELAJAR/MAHASISWA,WNI,SEUMUR HIDUP,DAIRI,25-02-2017
PROVINSI SUMATERA UTARA,KABUPATEN LABUHANBATU SELATAN,1222031605838052,JACKY AFANDI,"LABUHANBATU SELATAN, 16-05-1983",LAKI-LAKI,AB,JL SUBUR 73,010/003,BERINGIN JAYA,TORGAMBA,ISLAM,KAWIN,BELUM/TIDAK BEKERJA,WNI,SEUMUR HIDUP,LABUHANBATU SELATAN,17-12-2016
PROVINSI BENGKULU,KABUPATEN KAUR,1704071305582870,IING YOSHAWIRJA,"KAUR, 13-05-1958",PEREMPUAN,O,JL RAYA PASAR MINGGU 26-B,012/020,ULAK PANDAN,NASAL,ISLAM,BELUM KAWIN,BELUM/TIDAK BEKERJA,WNI,SEUMUR HIDUP,KAUR,05-02-2010
PROVINSI P A P U A,KABUPATEN YAHUKIMO,9113290909933468,HENRY LIEM,"YAHUKIMO, 09-09-1993",PEREMPUAN,-,JL ARTERI PD INDAH 60,014/013,MENETSING,HEREAPINI,ISLAM,BELUM KAWIN,WIRASWASTA,WNI,SEUMUR HIDUP,YAHUKIMO,26-03-2013
PROVINSI JAWA BARAT,KABUPATEN KUNINGAN,3208160405754639,DAN BROWN,"KRAMATMULYA, 04-05-1975",LAKI-LAKI,B,JL PD JAYA II,028/030,KALAPAGUNUNG,KRAMATMULYA,ISLAM,KAWIN,MENGURUS RUMAH TANGGA,WNI,SEUMUR HIDUP,KUNINGAN,29-08-2020
PROVINSI ACEH,KABUPATEN ACEH TENGAH,1104183001570702,IMA ENDANG PRAYANTI GARIBALDI,"ACEH TENGAH, 30-01-1957",LAKI-LAKI,B,JL RAYA PASAR MINGGU 26-B,019/012,MERAH MUYANG,ATU LINTANG,ISLAM,CERAI MATI,WIRASWASTA,WNI,SEUMUR HIDUP,ACEH TENGAH,08-10-2016
PROVINSI SUMATERA UTARA,KABUPATEN NIAS,1204052501827053,LIDWINA LINDAWATI KARTIKO,"HILIDUHO, 25-01-1982",LAKI-LAKI,B,JL WARU 5-B,017/020,FADORO LAURU,HILIDUHO,KRISTEN,KAWIN,PELAJAR/MAHASISWA,WNI,SEUMUR HIDUP,NIAS,25-04-2017
PROVINSI ACEH,KABUPATEN ACEH TIMUR,1103082604820586,SOETJAHJONO WINARKO,"ACEH TIMUR, 26-04-1982",LAKI-LAKI,B,JL CEMPAKA PUTIH RAYA 8,027/030,SARAH TEUBE,RANTAU SELAMAT,ISLAM,BELUM KAWIN,WIRASWASTA,WNI,SEUMUR HIDUP,ACEH TIMUR,29-06-2017
PROVINSI RIAU,KABUPATEN ROKAN HULU,1406081904881465,JIOHAN SEBASTIAN,"RAMBAH HILIR, 19-04-1988",PEREMPUAN,AB,JL LETJEN SUPRAPTO GRAHA CEMPAKA MAS BL D/12-A,024/016,SEJATI,RAMBAH HILIR,ISLAM,CERAI HIDUP,BELUM/TIDAK BEKERJA,WNI,SEUMUR HIDUP,ROKAN HULU,26-02-2014
PROVINSI JAWA TENGAH,KABUPATEN KUDUS,3319020504710167,JOHAN ARIFKAJA ADI LESMANA,"KUDUS, 05-04-1971",PEREMPUAN,AB,KPJAWA WARASIH NO 09,016/025,GLANTENGAN,KOTA KUDUS,KRISTEN,KAWIN,BELUM/TIDAK BEKERJA,WNI,SEUMUR HIDUP,KUDUS,25-04-2015
PROVINSI KALIMANTAN BARAT,KABUPATEN SINTANG,6105050401026962,ANDRY SETIAWAN,"SINTANG, 04-01-2002",LAKI-LAKI,O,JL LETJEN HARYONO MT KAV 8 WISMA INDOMOBIL,019/030,MUNGGUK GELOMBANG,KETUNGAU TENGAH,ISLAM,KAWIN,PELAJAR/MAHASISWA,WNI,SEUMUR HIDUP,SINTANG,02-08-2014
PROVINSI PAPUA BARAT,KABUPATEN SORONG SELATAN,9204211107683831,LIJATINI SETIONO,"SORONG SELATAN, 11-07-1968",PEREMPUAN,O,JL P DIPONEGORO 25,011/022,KAMUNDAN SATU,KOKODA UTARA,ISLAM,CERAI MATI,PELAJAR/MAHASISWA,WNI,SEUMUR HIDUP,SORONG SELATAN,15-03-2012
PROVINSI RIAU,KABUPATEN ROKAN HULU,1406082606889475,SOETJAHJONO WINARKO,"ROKAN HULU, 26-06-1988",PEREMPUAN,A,JL JEND GATOT SUBROTO KAV 72 WISMA ALDIRON DIRGANTARA UNIT 038,004/018,RAMBAH MUDA,RAMBAH HILIR,ISLAM,BELUM KAWIN,BELUM/TIDAK BEKERJA,WNI,SEUMUR HIDUP,ROKAN HULU,03-07-2019
PROVINSI ACEH,KABUPATEN BIREUEN,1111011412986244,SUBARDI,"BIREUEN, 14-12-1998",PEREMPUAN,A,JL SIAGA II C 21 A,002/018,LUENG KEUBEU,SAMALANGA,ISLAM,BELUM KAWIN,SOPIR,WNI,SEUMUR HIDUP,BIREUEN,28-04-2013
PROVINSI ACEH,KABUPATEN ACEH SINGKIL,1110160512793063,THOMSON,"ACEH SINGKIL, 05-12-1979",PEREMPUAN,O,JL IR H JUANDA 5-A CIPUTAT,020/015,HALOBAN,PULAU BANYAK BARAT,ISLAM,CERAI MATI,KARYAWAN SWASTA,WNI,SEUMUR HIDUP,ACEH SINGKIL,11-02-2016
PROVINSI MALUKU,KABUPATEN MALUKU TENGGARA,8102162405026479,TANG ENG HOO,"HOAT SORBAY, 24-05-2002",LAKI-LAKI,O,KOMPL TAMAN ARIES BL H-3/17-D,026/011,OHOIBADAR,HOAT SORBAY,ISLAM,KAWIN,PELAJAR/MAHASISWA,WNI,SEUMUR HIDUP,MALUKU TENGGARA,19-02-2010
PROVINSI SULAWESI SELATAN,KABUPATEN WAJO,7313141407978879,SUHIANTORO SUPARDJONO,"KEERA, 14-07-1997",LAKI-LAKI,-,JL.JEND.SUDIRMAN KAV 45-46,012/020,LABAWANG,KEERA,ISLAM,KAWIN,MENGURUS RUMAH TANGGA,WNI,SEUMUR HIDUP,WAJO,18-08-2019
PROVINSI JAWA TENGAH,KABUPATEN PATI,3318122503631945,MARGARETHA NATALIA WIDJAJA,"PATI, 25-03-1963",LAKI-LAKI,B,JL KRAMAT KWITANG I A-14,005/009,JIMBARAN,MARGOREJO,ISLAM,KAWIN,PETANI/PEKEBUN,WNI,SEUMUR HIDUP,PATI,15-01-2014
PROVINSI JAWA BARAT,KABUPATEN CIREBON,3209172711024862,HERUMANLO ZAINI,"CIREBON, 27-11-2002",PEREMPUAN,B,JLN SMA 48 PINANG RANTI,015/005,KEPUH,PALIMANAN,ISLAM,CERAI MATI,NELAYAN/PERIKANAN,WNI,SEUMUR HIDUP,CIREBON,22-11-2015
PROVINSI P A P U A,KABUPATEN BIAK NUMFOR,9106021809987367,TAY ROBINTO,"BIAK NUMFOR, 18-09-1998",LAKI-LAKI,O,JLN. RAYA BOGOR KM 21 NO.17 KRAMAT JATI,013/007,DOFYO WAFOR,BIAK UTARA,ISLAM,BELUM KAWIN,PEWAGAI NEGERI SIPIL,WNI,SEUMUR HIDUP,BIAK NUMFOR,22-05-2011
PROVINSI NUSA TENGGARA TIMUR,KABUPATEN MANGGARAI,5310131510679783,UPEKKHA THERESIA MURDAYA,"MANGGARAI, 15-10-1967",LAKI-LAKI,A,JL RAYA KALIMALANG PURI SENTRA NIAGA BL A/19,019/022,SATAR LENDA,SATAR MESE BARAT,ISLAM,CERAI HIDUP,KARYAWAN SWASTA,WNI,SEUMUR HIDUP,MANGGARAI,09-09-2017
PROVINSI ACEH,KABUPATEN ACEH UTARA,1108081603775826,DR. PUDJI WITOMO,"ACEH UTARA, 16-03-1977",LAKI-LAKI,O,KOMPL PAMULANG PERMAI BL SH-22/15,020/018,TANJONG KLENG,SAMUDERA,ISLAM,BELUM KAWIN,MENGURUS RUMAH TANGGA,WNI,SEUMUR HIDUP,ACEH UTARA,26-06-2012
PROVINSI SULAWESI UTARA,KABUPATEN KEPULAUAN SANGIHE,7103251004882487,KURNIATI PHAN JUSUF,"KEPULAUAN MARORE, 10-04-1988",PEREMPUAN,A,JL AKASIA BL 109,012/014,MARORE,KEPULAUAN MARORE,ISLAM,CERAI MATI,BELUM/TIDAK BEKERJA,WNI,SEUMUR HIDUP,KEPULAUAN SANGIHE,06-04-2010
PROVINSI P A P U A,KABUPATEN BOVEN DIGOEL,9116082611861412,EDIANTO PRASETYO,"BOVEN DIGOEL, 26-11-1986",PEREMPUAN,A,JL PISANGAN BARU UTR 5,006/017,LANGGOAN,INIYANDIT,ISLAM,KAWIN,PETANI/PEKEBUN,WNI,SEUMUR HIDUP,BOVEN DIGOEL,18-03-2018
PROVINSI JAWA TIMUR,KABUPATEN BOJONEGORO,3522092507767580,SUSY ANGKAWIJAYA,"BOJONEGORO, 25-07-1976",PEREMPUAN,-,JL WALET KOMPL CIPINANG INDAH BL DD/6,020/001,SIDOMUKTI,KEPOHBARU,ISLAM,CERAI HIDUP,GURU,WNI,SEUMUR HIDUP,BOJONEGORO,22-11-2012
PROVINSI SUMATERA SELATAN,KABUPATEN EMPAT LAWANG,1611061806871537,MOHIT RAMCHAND VASWANI,"TALANG PADANG, 18-06-1987",PEREMPUAN,O,JL KALIPASIR 4,012/024,CANGGU,TALANG PADANG,ISLAM,CERAI MATI,PETANI/PEKEBUN,WNI,SEUMUR HIDUP,EMPAT LAWANG,25-01-2016
PROVINSI SUMATERA BARAT,KABUPATEN PESISIR SELATAN,1301051902639437,KRISNO ABIYANTO,"PESISIR SELATAN, 19-02-1963",LAKI-LAKI,O,JL SRENGSENG RAYA 41-B,028/015,SUNGAI SARIAK LUMPO,IV JURAI,ISLAM,BELUM KAWIN,BELUM/TIDAK BEKERJA,WNI,SEUMUR HIDUP,PESISIR SELATAN,17-09-2016
PROVINSI MALUKU UTARA,KABUPATEN HALMAHERA TIMUR,8206070712595610,MARCELLYNA JUNITA WIDJAJA,"HALMAHERA TIMUR, 07-12-1959",PEREMPUAN,A,JL H BUANG 16,015/026,DODAGA,WASILE TIMUR,ISLAM,CERAI HIDUP,MENGURUS RUMAH TANGGA,WNI,SEUMUR HIDUP,HALMAHERA TIMUR,09-01-2014
PROVINSI KALIMANTAN SELATAN,KABUPATEN HULU SUNGAI TENGAH,6307050507667051,NOVI ARIYUNIDA DHARMA,"PANDAWAN, 05-07-1966",LAKI-LAKI,B,JL GN SAHARI RAYA 65,014/030,BANUA HANYAR,PANDAWAN,ISLAM,CERAI HIDUP,BELUM/TIDAK BEKERJA,WNI,SEUMUR HIDUP,HULU SUNGAI TENGAH,21-09-2018
PROVINSI MALUKU,KABUPATEN MALUKU TENGAH,8101161205036918,JOHANES HERKIAMTO,"NUSA LAUT, 12-05-2003",PEREMPUAN,O,JL LANGSAT I 3-PAV,028/017,LEINITU,NUSA LAUT,ISLAM,CERAI HIDUP,BELUM/TIDAK BEKERJA,WNI,SEUMUR HIDUP,MALUKU TENGAH,27-03-2016
PROVINSI KALIMANTAN TIMUR,KABUPATEN MAHAKAM ULU,6411011903992211,ALBERT SUHERMAN,"LONG BAGUN, 19-03-1999",PEREMPUAN,B,JL ARBAI KOMPL KALIBATA INDAH BL T/14 RT015/06,027/026,RUKUN DAMAI,LONG BAGUN,ISLAM,KAWIN,MENGURUS RUMAH TANGGA,WNI,SEUMUR HIDUP,MAHAKAM ULU,09-05-2019
PROVINSI KALIMANTAN SELATAN,KABUPATEN BANJAR,6303091410716543,ASWADI,"BANJAR, 14-10-1971",LAKI-LAKI,B,JL LETJEN HARYONO MT KAV 8 WISMA INDOMOBIL,012/023,BENTENG,PENGAROM,ISLAM,CERAI MATI,PETANI/PEKEBUN,WNI,SEUMUR HIDUP,BANJAR,04-01-2012
PROVINSI BENGKULU,KABUPATEN KAUR,1704020801870956,SUSANA SUTANTO,"TANJUNG KEMUNING, 08-01-1987",PEREMPUAN,A,JL PROF DR SUPOMO SH 6 A,030/025,PELAJARAN,TANJUNG KEMUNING,ISLAM,KAWIN,PELAJAR/MAHASISWA,WNI,SEUMUR HIDUP,KAUR,29-10-2019
PROVINSI JAWA TIMUR,KABUPATEN NGANJUK,3518042808857182,DEWI NOVIANAWATI,"NGANJUK, 28-08-1985",PEREMPUAN,O,JL TEBET BRT DALAM 30,013/011,PUTUKREJO,LOCERET,ISLAM,CERAI MATI,PETANI/PEKEBUN,WNI,SEUMUR HIDUP,NGANJUK,08-05-2014
PROVINSI GORONTALO,KABUPATEN GORONTALO,7501230105854731,SUN KHAI NIEN,"GORONTALO, 01-05-1985",LAKI-LAKI,A,JL LETJEN TB SIMATUPANG 31,024/022,TAULA'A,BILATO,ISLAM,CERAI MATI,PETANI/PEKEBUN,WNI,SEUMUR HIDUP,GORONTALO,01-08-2015
PROVINSI SUMATERA UTARA,KABUPATEN PADANG LAWAS,1221091706841941,LEDA MAGDANGAL TAMIN,"PADANG LAWAS, 17-06-1984",LAKI-LAKI,A,JL H BUANG 16,028/025,TANJUNG BOTUNG PINARIK,BATANG LUBU SUTAM,BUDDHA,CERAI HIDUP,PETANI/PEKEBUN,WNI,SEUMUR HIDUP,PADANG LAWAS,15-09-2019
PROVINSI SUMATERA SELATAN,KABUPATEN LAHAT,1604121009615790,JACKY AFANDI,"PAJAR BULAN, 10-09-1961",PEREMPUAN,O,JATIUNGGUL BLOK B1,011/005,ULAK BANDUNG,PAJAR BULAN,KRISTEN,KAWIN,MENGURUS RUMAH TANGGA,WNI,SEUMUR HIDUP,LAHAT,20-01-2016
PROVINSI SUMATERA UTARA,KABUPATEN SERDANG BEDAGAI,1218101204887873,HERLINE GOENAWAN,"SERDANG BEDAGAI, 12-04-1988",LAKI-LAKI,A,JL KRAMAT KWITANG I-A 14-B,006/009,BANDAR BAYU,KOTARIH,KRISTEN,BELUM KAWIN,PENSIUNAN,WNI,SEUMUR HIDUP,SERDANG BEDAGAI,23-06-2013
